f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.07 | 0.01 | [[386, 391, 411, 431, 481], [303, 308, 328, 348, 398], [241, 246, 266, 286, 336]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.05 | 0.001 | [[361, 381, 461, 541, 741], [278, 293, 353, 413, 563], [219, 234, 294, 354, 504]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.05 | 0.003 | [[359, 374, 434, 494, 644], [276, 286, 326, 366, 466], [216, 226, 266, 306, 406]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.05 | 0.005 | [[362, 377, 437, 497, 647], [278, 288, 328, 368, 468], [218, 228, 268, 308, 408]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.05 | 0.01 | [[372, 377, 397, 417, 467], [290, 295, 315, 335, 385], [229, 234, 254, 274, 324]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.2 | 0.001 | [[243, 263, 343, 423, 623], [185, 205, 285, 365, 565], [143, 163, 243, 323, 523]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.2 | 0.003 | [[245, 260, 320, 380, 530], [185, 200, 260, 320, 470], [142, 157, 217, 277, 427]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.2 | 0.005 | [[254, 269, 329, 389, 539], [192, 207, 267, 327, 477], [149, 164, 224, 284, 434]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.2 | 0.01 | [[298, 303, 323, 343, 393], [232, 237, 257, 277, 327], [185, 190, 210, 230, 280]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.15 | 0.001 | [[243, 263, 343, 423, 623], [185, 205, 285, 365, 565], [143, 163, 243, 323, 523]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.15 | 0.003 | [[245, 260, 320, 380, 530], [185, 200, 260, 320, 470], [142, 157, 217, 277, 427]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.15 | 0.005 | [[254, 269, 329, 389, 539], [192, 207, 267, 327, 477], [149, 164, 224, 284, 434]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.15 | 0.01 | [[298, 303, 323, 343, 393], [232, 237, 257, 277, 327], [185, 190, 210, 230, 280]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.1 | 0.001 | [[241, 261, 341, 421, 621], [183, 203, 283, 363, 563], [141, 161, 241, 321, 521]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.8 | 0.1 | 0.003 | [[243, 258, 318, 378, 528], [183, 198, 258, 318, 468], [140, 155, 215, 275, 425]] | 
