f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.1 | 0.005 | [[225, 225, 225, 225, 225], [162, 162, 162, 162, 162], [112, 112, 112, 112, 112]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.1 | 0.01 | [[362, 362, 362, 362, 362], [275, 275, 275, 275, 275], [209, 209, 209, 209, 209]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.07 | 0.001 | [[89, 94, 114, 134, 184], [57, 62, 82, 102, 152], [44, 49, 69, 89, 139]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.07 | 0.003 | [[157, 157, 157, 157, 157], [103, 103, 103, 103, 103], [74, 74, 74, 74, 74]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.07 | 0.005 | [[225, 225, 225, 225, 225], [162, 162, 162, 162, 162], [112, 112, 112, 112, 112]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.07 | 0.01 | [[362, 362, 362, 362, 362], [275, 275, 275, 275, 275], [209, 209, 209, 209, 209]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.05 | 0.001 | [[89, 94, 114, 134, 184], [57, 62, 82, 102, 152], [44, 49, 69, 89, 139]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.05 | 0.003 | [[157, 157, 157, 157, 157], [103, 103, 103, 103, 103], [74, 74, 74, 74, 74]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.05 | 0.005 | [[225, 225, 225, 225, 225], [162, 162, 162, 162, 162], [112, 112, 112, 112, 112]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.05 | 0.01 | [[362, 362, 362, 362, 362], [275, 275, 275, 275, 275], [209, 209, 209, 209, 209]] | 
