vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.1 | 0.01 | [[815, 889, 1259, 1999], [773, 837, 1157, 1797], [740, 797, 1082, 1652]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.07 | 0.001 | [[761, 861, 1361, 2361], [684, 765, 1170, 1980], [664, 740, 1120, 1880]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.07 | 0.003 | [[761, 861, 1361, 2361], [684, 765, 1170, 1980], [664, 740, 1120, 1880]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.07 | 0.005 | [[755, 839, 1259, 2099], [720, 796, 1176, 1936], [682, 749, 1084, 1754]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.07 | 0.01 | [[769, 845, 1225, 1985], [724, 789, 1114, 1764], [688, 745, 1030, 1600]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.05 | 0.001 | [[740, 843, 1358, 2388], [663, 747, 1167, 2007], [641, 719, 1109, 1889]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.05 | 0.003 | [[740, 843, 1358, 2388], [663, 747, 1167, 2007], [641, 719, 1109, 1889]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.05 | 0.005 | [[734, 821, 1256, 2126], [699, 778, 1173, 1963], [659, 728, 1073, 1763]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.05 | 0.01 | [[748, 827, 1222, 2012], [703, 771, 1111, 1791], [665, 724, 1019, 1609]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.2 | 0.001 | [[892, 993, 1498, 2508], [819, 902, 1317, 2147], [800, 878, 1268, 2048]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.2 | 0.003 | [[892, 993, 1498, 2508], [819, 902, 1317, 2147], [800, 878, 1268, 2048]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.2 | 0.005 | [[891, 976, 1401, 2251], [859, 937, 1327, 2107], [822, 891, 1236, 1926]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.2 | 0.01 | [[906, 983, 1368, 2138], [864, 931, 1266, 1936], [826, 884, 1174, 1754]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.8 | 0.15 | 0.001 | [[823, 924, 1429, 2439], [750, 833, 1248, 2078], [732, 810, 1200, 1980]] | 
